id,observed_on_string,observed_on,Unnamed: 3,year,time_observed_at,time_zone,user_id,user_login,Source,created_at,updated_at,quality_grade,license,url,image_url,place_guess,latitude,longitude,species_guess,scientific_name,common_name,taxon_id,combined lat and long
50070189,2020/06/17 5:58 PM CEST,17/06/2020,,,2020-06-17 15:58:00 UTC,Paris,1506635,martinvas,iNaturalist,2020-06-18 17:58:52 UTC,2020-08-24 13:45:09 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/50070189,https://inaturalist-open-data.s3.amazonaws.com/photos/79505420/medium.jpeg,"682 01 VyÃ…Â¡kov, Ã„Å’esko",49.29551,17.01271,Green Beetle Hanger,Hesperomyces virescens,,,"49.29551,17.01271"
50096448,Thu Jun 18 2020 18:21:17 GMT+0100 (GMT+1),18/06/2020,,,2020-06-18 16:21:17 UTC,Amsterdam,353381,wildhamandpetersham,iNaturalist,2020-06-18 22:16:38 UTC,2020-06-18 22:17:07 UTC,needs_id,CC-BY-NC-ND,https://www.inaturalist.org/observations/50096448,https://inaturalist-open-data.s3.amazonaws.com/photos/79547716/medium.jpg,"England, GB",51.49814,-0.23716,Hesperomy,Hesperomyces,,,"51.49814,-0.23716"
,,25/06/2020,,,25/06/2020 00:00,Germany,,naturgucker,Naturgucker network,,,,,,,,51.36536,6.63643,,Hesperomyces virescens,,,"51.36536,6.63643"
50968996,Fri Jun 26 2020 09:54:47 GMT+0100 (GMT+1),26/06/2020,,,2020-06-26 07:54:47 UTC,Amsterdam,3243501,louallen,iNaturalist,2020-06-26 08:57:13 UTC,2021-03-10 05:30:45 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/50968996,,"Great Britain, Bordon, England, GB",51.12559,-0.89306,Green Beetle Hanger,Hesperomyces virescens,,,"51.12559,-0.89306"
51127256,2020-06-27 8:34:00 PM GMT+02:00,27/06/2020,,,2020-06-27 16:34:00 UTC,Pretoria,2818313,christina_dck,iNaturalist,2020-06-27 18:35:16 UTC,2021-04-28 09:45:35 UTC,research,,https://www.inaturalist.org/observations/51127256,https://static.inaturalist.org/photos/81214823/medium.jpg,"28355 Bremen, Deutschland",53.09635,8.926263,MarienkÃƒÂ¤ferpilz,Hesperomyces virescens,,,"53.09635,8.926263"
87914252,2020/06/28 12:02 AM CEST,28/06/2020,,,2020-06-27 22:02:00 UTC,Paris,4242050,josef-schmid,iNaturalist,2021-07-20 21:57:07 UTC,2021-07-20 21:57:07 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/87914252,https://inaturalist-open-data.s3.amazonaws.com/photos/144993797/medium.jpeg,"Poppendorf, Ãƒâ€“sterreich",46.87332,15.85597,Hesperomyces,Hesperomyces,,,"46.87332,15.85597"
59057572,2020-07-19 9:48:14 AM GMT+02:00,19/07/2020,,,2020-07-19 07:48:14 UTC,Africa/Johannesburg,3583314,virginiatournier,iNaturalist,2020-09-09 17:24:59 UTC,2021-03-10 05:32:00 UTC,research,,https://www.inaturalist.org/observations/59057572,https://static.inaturalist.org/photos/94334388/medium.jpeg,"1254 Jussy, Suisse",46.22659,6.274528,Green Beetle Hanger,Hesperomyces virescens,,,"46.22659,6.274528"
58868439,2020/07/25 4:30 PM CEST,25/07/2020,,,2020-07-25 14:30:00 UTC,Paris,1409524,mobbini,iNaturalist,2020-09-07 19:08:17 UTC,2020-09-07 19:11:21 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/58868439,https://inaturalist-open-data.s3.amazonaws.com/photos/94006098/medium.jpg,"SchleuÃƒÅ¸ig, Leipzig, Deutschland",51.32708,12.35529,Hesperomyces,Hesperomyces,,,"51.32708,12.35529"
109000000,2020/07/29 11:29 PM EEST,29/07/2020,,,2020-07-29 20:29:00 UTC,Athens,2562872,panagiotisd,iNaturalist,2022-03-14 21:31:11 UTC,2022-03-15 10:56:01 UTC,needs_id,,https://www.inaturalist.org/observations/108612150,https://static.inaturalist.org/photos/182900333/medium.jpg,"Servia 505 00, Greece",40.18588,22.0028,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"40.18588,22.0028"
,,2/8/20 0:00,,,2/8/20 0:00,Germany,,naturgucker,Naturgucker network,,,,,,,,50.04339,7.930064,,Hesperomyces virescens,,,"50.04339,7.930064"
67037258,2020/08/06 5:46 PM CEST,6/8/20 0:00,,,2020-08-06 15:46:00 UTC,Berlin,1374169,felix_riegel,iNaturalist,2020-12-25 08:33:27 UTC,2021-02-26 04:10:02 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/67037258,https://inaturalist-open-data.s3.amazonaws.com/photos/108210331/medium.jpeg,"Waldperlach Rothsee, MÃƒÂ¼nchen, Bayern, Deutschland",48.09136,11.67542,Laboulbenia,Laboulbenia,,,"48.09136,11.67542"
56616581,2020/08/07 10:20 PM CEST,7/8/20 0:00,,,2020-08-07 20:20:00 UTC,Berlin,32124,martingrimm,iNaturalist,2020-08-16 12:08:43 UTC,2021-03-10 05:32:26 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/56616581,https://inaturalist-open-data.s3.amazonaws.com/photos/90236484/medium.jpg,"Nordsachsen, Sachsen, Germany",51.48059,12.32249,MarienkÃƒÂ¤ferpilz,Hesperomyces virescens,,,"51.48059,12.32249"
67096067,2020/08/07 6:10 PM CEST,7/8/20 0:00,,,2020-08-07 16:10:00 UTC,Berlin,1374169,felix_riegel,iNaturalist,2020-12-26 18:46:52 UTC,2021-11-06 04:09:05 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/67096067,https://inaturalist-open-data.s3.amazonaws.com/photos/108316295/medium.jpeg,"Reichenaubach, Jachenau, Bad TÃƒÂ¶lz-Wolfratshausen, Bayern, Deutschland",47.61871,11.49391,Laboulbenia,Laboulbenia,,,"47.61871,11.49391"
57815139,2020-08-16 7:40:29 PM GMT+02:00,16/08/2020,,,2020-08-16 17:40:29 UTC,Africa/Johannesburg,3527898,hcghcg,iNaturalist,2020-08-28 10:09:36 UTC,2021-03-10 05:32:02 UTC,casual,,https://www.inaturalist.org/observations/57815139,,"Dachau, DE-BY, DE",48.23213,11.47895,Green Beetle Hanger,Hesperomyces virescens,,,"48.23213,11.47895"
,,19/08/2020,,,19/08/2020 21:17,Ukraine,,Andrew Zamoroka,Ukrainian Biodiversity Information Network,,,,,,https://ukrbin.com/show_image.php?imageid=174107,,48.58721,24.172564,Green Beetle Hanger,Hesperomyces virescens,,,"48.58721,24.172564"
62738475,2020/08/20 6:54 AM CEST,20/08/2020,,,2020-08-20 04:54:00 UTC,Bratislava,386722,fero,iNaturalist,2020-10-16 21:33:32 UTC,2022-01-20 05:49:58 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/62738475,https://static.inaturalist.org/photos/100568567/medium.jpg,"Szigliget, 8264 MaÃ„Âarsko",46.80183,17.43566,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"46.80183,17.43566"
,,29/08/2020,,,29/08/2020 00:00,Germany,,naturgucker,Naturgucker network,,,,,,,,51.56843,6.841049,,Hesperomyces virescens,,,"51.56843,6.841049"
,,6/9/20 0:00,,,6/9/20 0:00,Germany,,naturgucker,Naturgucker network,,,,,,,,51.09382,7.063415,,Hesperomyces virescens,,,"51.09382,7.063415"
60059273,2020/09/15 10:47 AM CEST,15/09/2020,,,2020-09-15 08:47:00 UTC,Paris,1506635,martinvas,iNaturalist,2020-09-19 12:14:44 UTC,2021-03-10 05:32:50 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/60059273,https://inaturalist-open-data.s3.amazonaws.com/photos/96010290/medium.jpeg,"682 01 VyÃ…Â¡kov, Ã„Å’esko",49.29421,17.0123,Green Beetle Hanger,Hesperomyces virescens,,,"49.29421,17.0123"
60420353,2020/09/15 6:27 PM CEST,15/09/2020,,,2020-09-15 16:27:00 UTC,Paris,1442162,rob-westerduijn,iNaturalist,2020-09-22 14:46:44 UTC,2021-03-10 05:32:45 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/60420353,https://inaturalist-open-data.s3.amazonaws.com/photos/96611653/medium.jpeg,"Leidschendam, Nederland",52.09551,4.428587,Hesperomyces virescens,Hesperomyces virescens,,,"52.09551,4.428587"
,,15/09/2020,,,15/09/2020 00:00,Germany,,naturgucker,Naturgucker network,,,,,,,,51.19878,7.007106,,Hesperomyces virescens,,,"51.19878,7.007106"
,,28/09/2020,,,28/09/2020 00:00,Germany,,naturgucker,Naturgucker network,,,,,,,,52.52359,13.28994,,Hesperomyces virescens,,,"52.52359,13.28994"
64681965,2020/10/03 3:34 PM CEST,3/10/20 0:00,,,2020-10-03 13:34:00 UTC,Paris,1409524,mobbini,iNaturalist,2020-11-11 18:54:05 UTC,2021-03-10 05:28:16 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/64681965,https://inaturalist-open-data.s3.amazonaws.com/photos/104023979/medium.jpg,"Knautkleeberg-Knauthain, Leipzig, Deutschland",51.27487,12.31595,Green Beetle Hanger,Hesperomyces virescens,,,"51.27487,12.31595"
,,4/10/20 0:00,,,4/10/20 0:00,Germany,,naturgucker,Naturgucker network,,,,,,,,52.52604,13.2768,,Hesperomyces virescens,,,"52.52604,13.2768"
,,7/10/20 0:00,,,7/10/20 0:00,Germany,,naturgucker,Naturgucker network,,,,,,,,49.30785,12.86204,,Hesperomyces virescens,,,"49.30785,12.86204"
69937146,2020/10/08 12:15 PM CEST,8/10/20 0:00,,,2020-10-08 10:15:00 UTC,Berlin,1374169,felix_riegel,iNaturalist,2021-02-21 18:52:44 UTC,2021-11-12 20:59:12 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/69937146,https://inaturalist-open-data.s3.amazonaws.com/photos/113693598/medium.jpeg,"Ebersberger Forst, Ebersberg, Bayern, Deutschland",48.08979,11.87404,Laboulbenia notiophili,Laboulbenia notiophili,,,"48.08979,11.87404"
,,10/10/20 0:00,,,10/10/20 0:00,Germany,,naturgucker,Naturgucker network,,,,,,,,52.1877,6.969262,,Hesperomyces virescens,,,"52.1877,6.969262"
,,11/10/20 0:00,,,11/10/20 0:00,Germany,,naturgucker,Naturgucker network,,,,,,,,47.64837,7.568632,,Hesperomyces virescens,,,"47.64837,7.568632"
62386606,Mon Oct 12 2020 12:04:12 GMT+0200 (GMT+2),12/10/20 0:00,,,2020-10-12 10:04:12 UTC,Africa/Johannesburg,3737260,max_ratusinski,iNaturalist,2020-10-12 10:05:42 UTC,2021-03-10 05:29:04 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/62386606,https://inaturalist-open-data.s3.amazonaws.com/photos/99949803/medium.jpg,"UniversitÃƒÂ¤t Bremen - Zentrum fÃƒÂ¼r Umweltforschung und nachhaltige Technologien, Bremen, DE",53.10747,8.851825,Green Beetle Hanger,Hesperomyces virescens,,,"53.10747,8.851825"
,,14/10/2020,,,14/10/2020 00:00,Germany,,naturgucker,Naturgucker network,,,,,,,,48.89925,9.201953,,Hesperomyces virescens,,,"48.89925,9.201953"
63075880,Sat Oct 17 2020 14:26:14 GMT+0100 (GMT+1),17/10/2020,,,2020-10-17 12:26:14 UTC,Amsterdam,353381,wildhamandpetersham,iNaturalist,2020-10-20 07:51:27 UTC,2021-03-10 05:28:51 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/63075880,https://inaturalist-open-data.s3.amazonaws.com/photos/101170950/medium.jpg,"Riverside Dr, Richmond, England, GB",51.43659,-0.32283,Green Beetle Hanger,Hesperomyces virescens,,,"51.43659,-0.32283"
,,17/10/2020,,,17/10/2020 00:00,Germany,,naturgucker,Naturgucker network,,,,,,,,51.19243,6.464591,,Hesperomyces virescens,,,"51.19243,6.464591"
,,19/10/2020,,,19/10/2020 00:00,Germany,,naturgucker,Naturgucker network,,,,,,,,51.16648,6.933746,,Hesperomyces virescens,,,"51.16648,6.933746"
,,19/10/2020,,,19/10/2020 00:00,Germany,,naturgucker,Naturgucker network,,,,,,,,50.35621,7.722488,,Hesperomyces virescens,,,"50.35621,7.722488"
,,19/10/2020,,,19/10/2020 00:00,Germany,,naturgucker,Naturgucker network,,,,,,,,47.64837,7.568632,,Hesperomyces virescens,,,"47.64837,7.568632"
,,19/10/2020,,,19/10/2020 00:00,Germany,,naturgucker,Naturgucker network,,,,,,,,52.52359,13.28994,,Hesperomyces virescens,,,"52.52359,13.28994"
63125698,Tue Oct 20 2020 17:01:38 GMT+0100 (GMT+1),20/10/2020,,,2020-10-20 15:01:38 UTC,Amsterdam,353381,wildhamandpetersham,iNaturalist,2020-10-20 22:13:11 UTC,2021-03-10 05:28:51 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/63125698,https://inaturalist-open-data.s3.amazonaws.com/photos/101258488/medium.jpg,"Beaufort Court, Richmond, England, GB",51.43009,-0.31683,Green Beetle Hanger,Hesperomyces virescens,,,"51.43009,-0.31683"
63125878,Tue Oct 20 2020 17:00:58 GMT+0100 (GMT+1),20/10/2020,,,2020-10-20 15:00:58 UTC,Amsterdam,353381,wildhamandpetersham,iNaturalist,2020-10-20 22:16:00 UTC,2021-03-10 05:28:50 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/63125878,https://inaturalist-open-data.s3.amazonaws.com/photos/101258740/medium.jpg,"Beaufort Court, Richmond, England, GB",51.43009,-0.31683,Green Beetle Hanger,Hesperomyces virescens,,,"51.43009,-0.31683"
63231824,2020/10/20 3:48 PM CEST,20/10/2020,,,2020-10-20 13:48:00 UTC,Skopje,3181353,eleftherioskats,iNaturalist,2020-10-22 11:05:59 UTC,2021-03-10 05:31:18 UTC,research,CC-BY,https://www.inaturalist.org/observations/63231824,https://inaturalist-open-data.s3.amazonaws.com/photos/101390698/medium.jpg,"Lancy, ÃŽâ€¢ÃŽÂ»ÃŽÂ²ÃŽÂµÃâ€žÃŽÂ¯ÃŽÂ±",46.18484,6.11972,MarienkÃƒÂ¤ferpilz,Hesperomyces virescens,,,"46.18484,6.11972"
,,21/10/2020,,,21/10/2020 00:00,Germany,,naturgucker,Naturgucker network,,,,,,,,49.91135,8.478243,,Hesperomyces virescens,,,"49.91135,8.478243"
,,21/10/2020,,,21/10/2020 00:00,Germany,,naturgucker,Naturgucker network,,,,,,,,47.7888,12.41714,,Hesperomyces virescens,,,"47.7888,12.41714"
,,21/10/2020,,,21/10/2020 00:00,Germany,,naturgucker,Naturgucker network,,,,,,,,49.98137,8.251636,,Hesperomyces virescens,,,"49.98137,8.251636"
,,21/10/2020,,,21/10/2020 00:00,Germany,,naturgucker,Naturgucker network,,,,,,,,50.92376,11.54024,,Hesperomyces virescens,,,"50.92376,11.54024"
,,21/10/2020,,,21/10/2020 00:00,Germany,,naturgucker,Naturgucker network,,,,,,,,51.434,7.030202,,Hesperomyces virescens,,,"51.434,7.030202"
,,21/10/2020,,,21/10/2020 00:00,Germany,,naturgucker,Naturgucker network,,,,,,,,50.08282,8.589983,,Hesperomyces virescens,,,"50.08282,8.589983"
,,21/10/2020,,,21/10/2020 00:00,Germany,,naturgucker,Naturgucker network,,,,,,,,50.79187,12.92682,,Hesperomyces virescens,,,"50.79187,12.92682"
63241169,Thu Oct 22 2020 15:56:25 GMT+0200 (GMT+2),22/10/2020,,,2020-10-22 13:56:25 UTC,Africa/Johannesburg,3260066,tamma,iNaturalist,2020-10-22 14:06:42 UTC,2021-03-10 05:31:18 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/63241169,https://inaturalist-open-data.s3.amazonaws.com/photos/101463892/medium.jpg,"Guido Gezellelaan, Delft, Zuid-Holland, NL",51.98895,4.35444,Green Beetle Hanger,Hesperomyces virescens,,,"51.98895,4.35444"
,,22/10/2020,,,22/10/2020 00:00,Germany,,naturgucker,Naturgucker network,,,,,,,,52.27362,13.37327,,Hesperomyces virescens,,,"52.27362,13.37327"
,,22/10/2020,,,22/10/2020 00:00,Germany,,naturgucker,Naturgucker network,,,,,,,,50.79445,12.89661,,Hesperomyces virescens,,,"50.79445,12.89661"
,,22/10/2020,,,22/10/2020 00:00,Germany,,naturgucker,Naturgucker network,,,,,,,,51.26295,7.197912,,Hesperomyces virescens,,,"51.26295,7.197912"
,,22/10/2020,,,22/10/2020 00:00,Germany,,naturgucker,Naturgucker network,,,,,,,,50.17907,8.287054,,Hesperomyces virescens,,,"50.17907,8.287054"
63343197,2020-10-23 9:44:00 PM GMT+02:00,23/10/2020,,,2020-10-23 17:44:00 UTC,Pretoria,2818313,christina_dck,iNaturalist,2020-10-23 20:45:54 UTC,2021-04-28 09:45:37 UTC,research,,https://www.inaturalist.org/observations/63343197,https://static.inaturalist.org/photos/101641933/medium.jpeg,"28355 Bremen, Deutschland",53.09643,8.926137,MarienkÃƒÂ¤ferpilz,Hesperomyces virescens,,,"53.09643,8.926137"
63354876,Fri Oct 23 2020 16:51:09 GMT+0100 (GMT+1),23/10/2020,,,2020-10-23 14:51:09 UTC,Amsterdam,353381,wildhamandpetersham,iNaturalist,2020-10-23 23:58:19 UTC,2021-03-10 05:31:12 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/63354876,https://inaturalist-open-data.s3.amazonaws.com/photos/101661488/medium.jpg,"Richmond upon Thames, Richmond, England, GB",51.43382,-0.32152,Green Beetle Hanger,Hesperomyces virescens,,,"51.43382,-0.32152"
63409009,2020/10/23 3:49 PM UTC,23/10/2020,,,2020-10-23 15:49:00 UTC,UTC,3485919,superjeeg,iNaturalist,2020-10-24 18:08:56 UTC,2021-03-10 05:31:09 UTC,research,,https://www.inaturalist.org/observations/63409009,https://static.inaturalist.org/photos/101755981/medium.jpg,"Picpus, 75012 Paris, France",48.82017,2.446682,Green Beetle Hanger,Hesperomyces virescens,,,"48.82017,2.446682"
,,23/10/2020,,,23/10/2020 00:00,Germany,,naturgucker,Naturgucker network,,,,,,,,49.98893,8.171235,,Hesperomyces virescens,,,"49.98893,8.171235"
,,23/10/2020,,,23/10/2020 00:00,Germany,,naturgucker,Naturgucker network,,,,,,,,52.2878,10.51378,,Hesperomyces virescens,,,"52.2878,10.51378"
,,23/10/2020,,,23/10/2020 00:00,Germany,,naturgucker,Naturgucker network,,,,,,,,51.57427,9.416659,,Hesperomyces virescens,,,"51.57427,9.416659"
63408450,2020/10/24 3:55 PM CEST,24/10/2020,,,2020-10-24 13:55:00 UTC,Berlin,706076,crawlingworld,iNaturalist,2020-10-24 18:02:35 UTC,2021-03-10 05:31:11 UTC,research,,https://www.inaturalist.org/observations/63408450,https://inaturalist-open-data.s3.amazonaws.com/photos/101754089/medium.jpg,"UnterallgÃƒÂ¤u, DE-BY, DE",48.14853,10.52518,MarienkÃƒÂ¤ferpilz,Hesperomyces virescens,,,"48.14853,10.52518"
108000000,2020/10/24 12:15 PM CEST,24/10/2020,,,2020-10-24 10:15:00 UTC,Paris,5195047,ingridaltmann,iNaturalist,2022-03-01 09:38:20 UTC,2022-03-01 14:25:53 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/107689871,https://inaturalist-open-data.s3.amazonaws.com/photos/181173149/medium.jpeg,"93437 Furth im Wald, Deutschland",49.30759,12.86193,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"49.30759,12.86193"
,,24/10/2020,,,24/10/2020 00:00,Germany,,naturgucker,Naturgucker network,,,,,,,,50.01995,8.403855,,Hesperomyces virescens,,,"50.01995,8.403855"
,,24/10/2020,,,24/10/2020 00:00,Germany,,naturgucker,Naturgucker network,,,,,,,,53.88247,10.71642,,Hesperomyces virescens,,,"53.88247,10.71642"
63553459,2020/10/25 4:49 PM CET,25/10/2020,,,2020-10-25 15:49:00 UTC,Berlin,32124,martingrimm,iNaturalist,2020-10-26 06:58:10 UTC,2021-03-10 05:31:06 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/63553459,https://inaturalist-open-data.s3.amazonaws.com/photos/102014489/medium.jpg,"Alt-West, Leipzig, Deutschland",51.34221,12.25507,MarienkÃƒÂ¤ferpilz,Hesperomyces virescens,,,"51.34221,12.25507"
,,25/10/2020,,,25/10/2020 00:00,Germany,,naturgucker,Naturgucker network,,,,,,,,51.05993,13.76963,,Hesperomyces virescens,,,"51.05993,13.76963"
,,25/10/2020,,,25/10/2020 00:00,Germany,,naturgucker,Naturgucker network,,,,,,,,48.95799,9.453263,,Hesperomyces virescens,,,"48.95799,9.453263"
,,25/10/2020,,,25/10/2020 00:00,Germany,,naturgucker,Naturgucker network,,,,,,,,48.35075,11.44517,,Hesperomyces virescens,,,"48.35075,11.44517"
,,25/10/2020,,,25/10/2020 00:00,Germany,,naturgucker,Naturgucker network,,,,,,,,52.52359,13.28994,,Hesperomyces virescens,,,"52.52359,13.28994"
63586255,Mon Oct 26 2020 17:00:40 GMT+0000 (GMT),26/10/2020,,,2020-10-26 17:00:40 UTC,London,353381,wildhamandpetersham,iNaturalist,2020-10-26 19:11:28 UTC,2021-03-10 05:31:06 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/63586255,https://inaturalist-open-data.s3.amazonaws.com/photos/102073075/medium.jpg,"Teddington Lock, Richmond, England, GB",51.43335,-0.32041,Green Beetle Hanger,Hesperomyces virescens,,,"51.43335,-0.32041"
63842631,Fri Oct 30 2020 17:05:07 GMT+0000 (GMT),30/10/2020,,,2020-10-30 17:05:07 UTC,London,353381,wildhamandpetersham,iNaturalist,2020-10-30 20:46:51 UTC,2021-03-10 05:31:03 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/63842631,https://inaturalist-open-data.s3.amazonaws.com/photos/102532525/medium.jpg,"England, GB",51.52305,-0.3147,Green Beetle Hanger,Hesperomyces virescens,,,"51.52305,-0.3147"
63969315,2020/10/30 6:17 PM CET,30/10/2020,,,2020-10-30 17:17:00 UTC,Berlin,999066,alexis_orion,iNaturalist,2020-11-01 16:08:46 UTC,2021-03-10 05:30:58 UTC,research,CC-BY,https://www.inaturalist.org/observations/63969315,https://inaturalist-open-data.s3.amazonaws.com/photos/102755836/medium.jpeg,"GÃƒÂ¼ntzelkiez, Berlin, Germany",52.4919,13.32078,MarienkÃƒÂ¤ferpilz,Hesperomyces virescens,,,"52.4919,13.32078"
,,31/10/2020,,,31/10/2020 00:00,Germany,,naturgucker,Naturgucker network,,,,,,,,50.58042,12.28575,,Hesperomyces virescens,,,"50.58042,12.28575"
63974396,2020/11/01 1:15 PM CET,1/11/20 0:00,,,2020-11-01 12:15:00 UTC,Paris,1506635,martinvas,iNaturalist,2020-11-01 17:24:30 UTC,2021-03-10 05:30:57 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/63974396,https://inaturalist-open-data.s3.amazonaws.com/photos/102766327/medium.jpeg,"683 23 Ivanovice na HanÃƒÂ©, Ã„Å’esko",49.30646,17.09643,Green Beetle Hanger,Hesperomyces virescens,,,"49.30646,17.09643"
,,1/11/20 0:00,,,1/11/20 0:00,Germany,,naturgucker,Naturgucker network,,,,,,,,52.52359,13.28994,,Hesperomyces virescens,,,"52.52359,13.28994"
64130215,Tue Nov 03 2020 16:39:45 GMT+0000 (GMT),3/11/20 0:00,,,2020-11-03 16:39:45 UTC,London,353381,wildhamandpetersham,iNaturalist,2020-11-03 20:49:18 UTC,2021-03-10 05:30:56 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/64130215,https://inaturalist-open-data.s3.amazonaws.com/photos/103051825/medium.jpg,"Richmond upon Thames, Richmond, England, GB",51.4339,-0.32179,Green Beetle Hanger,Hesperomyces virescens,,,"51.4339,-0.32179"
64348247,Fri Nov 06 2020 17:09:28 GMT+0000 (GMT),6/11/20 0:00,,,2020-11-06 17:09:28 UTC,London,353381,wildhamandpetersham,iNaturalist,2020-11-07 08:37:18 UTC,2021-03-10 05:28:20 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/64348247,https://inaturalist-open-data.s3.amazonaws.com/photos/103438793/medium.jpg,"Richmond upon Thames, Teddington, England, GB",51.43298,-0.32314,Green Beetle Hanger,Hesperomyces virescens,,,"51.43298,-0.32314"
,,7/11/20 0:00,,,7/11/20 0:00,Germany,,naturgucker,Naturgucker network,,,,,,,,51.0543,14.88722,,Hesperomyces virescens,,,"51.0543,14.88722"
,,7/11/20 0:00,,,7/11/20 0:00,Germany,,naturgucker,Naturgucker network,,,,,,,,48.87398,8.790667,,Hesperomyces virescens,,,"48.87398,8.790667"
,,8/11/20 0:00,,,8/11/20 0:00,Germany,,naturgucker,Naturgucker network,,,,,,,,52.52359,13.28994,,Hesperomyces virescens,,,"52.52359,13.28994"
,,9/11/20 0:00,,,9/11/20 0:00,Germany,,naturgucker,Naturgucker network,,,,,,,,51.434,7.030202,,Hesperomyces virescens,,,"51.434,7.030202"
,,10/11/20 0:00,,,10/11/20 0:00,Germany,,naturgucker,Naturgucker network,,,,,,,,51.26295,7.197912,,Hesperomyces virescens,,,"51.26295,7.197912"
,,14/11/2020,,,14/11/2020 00:00,Germany,,naturgucker,Naturgucker network,,,,,,,,49.37551,8.66261,,Hesperomyces virescens,,,"49.37551,8.66261"
,,14/11/2020,,,14/11/2020 00:00,Germany,,naturgucker,Naturgucker network,,,,,,,,52.55635,13.23374,,Hesperomyces virescens,,,"52.55635,13.23374"
64927151,Sun Nov 15 2020 12:58:41 GMT+0100 (GMT+1),15/11/2020,,,2020-11-15 11:58:41 UTC,Berlin,1952440,peter_gabler,iNaturalist,2020-11-15 11:59:37 UTC,2021-03-10 05:28:11 UTC,research,CC0,https://www.inaturalist.org/observations/64927151,https://inaturalist-open-data.s3.amazonaws.com/photos/104460897/medium.jpg,"Michael-Wolgemut-StraÃƒÅ¸e, Zwickau, Sachsen, DE",50.72702,12.51136,Green Beetle Hanger,Hesperomyces virescens,,,"50.72702,12.51136"
70680794,2020/11/17 3:14 PM CET,17/11/2020,,,2020-11-17 14:14:00 UTC,Berlin,1374169,felix_riegel,iNaturalist,2021-03-06 19:00:16 UTC,2021-03-10 05:27:00 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/70680794,https://inaturalist-open-data.s3.amazonaws.com/photos/114947625/medium.jpeg,"Feringasee, UnterfÃƒÂ¶hring, MÃƒÂ¼nchen, Bayern, Deutschland",48.19113,11.67734,Green Beetle Hanger,Hesperomyces virescens,,,"48.19113,11.67734"
65409691,2020/11/21 1:36 PM CET,21/11/2020,,,2020-11-21 12:36:00 UTC,Berlin,999066,alexis_orion,iNaturalist,2020-11-22 15:45:52 UTC,2021-03-10 05:28:07 UTC,research,CC-BY,https://www.inaturalist.org/observations/65409691,https://inaturalist-open-data.s3.amazonaws.com/photos/105273582/medium.jpeg,"Berliner Innenstadt, Berlin, Germany",52.49293,13.32154,Green Beetle Hanger,Hesperomyces virescens,,,"52.49293,13.32154"
,,28/11/2020,,,28/11/2020 00:00,Germany,,naturgucker,Naturgucker network,,,,,,,,54.30537,10.13881,,Hesperomyces virescens,,,"54.30537,10.13881"
87524868,2020/12/22 7:44 PM CET,22/12/2020,,,2020-12-22 18:44:00 UTC,Zagreb,1092977,ivan_humljani,iNaturalist,2021-07-18 09:20:16 UTC,2021-11-11 02:31:37 UTC,research,CC0,https://www.inaturalist.org/observations/87524868,https://inaturalist-open-data.s3.amazonaws.com/photos/144314607/medium.jpg,"Humljani, Croatia",45.58178,17.81222,Hesperomyces virescens,Hesperomyces virescens,,,"45.58178,17.81222"
67053527,2020-12-25 8:03:00 PM GMT+01:00,25/12/2020,,,2020-12-25 19:03:00 UTC,Amsterdam,2818313,christina_dck,iNaturalist,2020-12-25 19:08:05 UTC,2021-04-28 09:45:40 UTC,research,,https://www.inaturalist.org/observations/67053527,https://static.inaturalist.org/photos/108240821/medium.jpeg,"28355 Bremen, Deutschland",53.09633,8.926274,MarienkÃƒÂ¤ferpilz,Hesperomyces virescens,,,"53.09633,8.926274"
